,PC_1,PC_2,PC_3,Condition
0,s1,s1,ce,b1
1,s1,s1,b1,b1
2,s1,s1,s1,b1
3,s1,s2,ce,b1
4,s1,s2,b1,b1
5,s1,s2,s1,b1
6,s1,b1,ce,s1
7,s1,b1,s1,s1
8,s1,b2,ce,s1
9,s1,b2,s1,s1
10,s1,b1,b1,s1
11,s1,b2,b1,s1
12,b1,s1,ce,s1
13,b1,ce,ce,s1
14,b1,s1,s1,s1
15,b1,ce,s1,s1
16,b1,s1,b1,s1
17,ce,s1,ce,s1
18,b1,ce,b1,s1
19,ce,s1,s1,s1
