,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,Time[min],Time[min]
,,mean,std,mean,std,mean,std,mean,std,mean,std
Classifier,Granularity,,,,,,,,,,
AdaBoost,2.0,89.86184304230166,9.38279374125542,82.39655996177734,16.191427185565917,100.0,0.0,89.67259329341225,9.523792378641573,1.9342259133333337,0.03292659586813771
AdaBoost,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9342975633333335,0.03297928557128776
AdaBoost,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9342894700000002,0.03297909047266295
Decision Tree,2.0,89.5242842899872,8.927200808792007,82.39655996177734,16.191427185565917,99.16666666666666,1.1410886614690976,89.25154066183329,8.953439384715992,1.9341659166666672,0.03297820563623347
Decision Tree,3.0,98.30793334282866,1.2010075926053818,99.57446808510639,0.9515182882977846,96.25,2.7163343355011005,97.86727688787187,1.537648465137482,1.9341658333333334,0.03297820791796118
Decision Tree,4.0,98.64691639367612,1.1385816994108668,99.59183673469389,0.9126808071427711,97.08333333333331,3.1595314350214814,98.29267026822997,1.4761122536553384,1.9341657433333337,0.03297822830229694
Gaussian Process,2.0,89.86184304230166,9.38279374125542,82.39655996177734,16.191427185565917,100.0,0.0,89.67259329341225,9.523792378641573,1.9342110633333334,0.03297510932503861
Gaussian Process,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9342160866666667,0.032977246877227084
Gaussian Process,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9342451966666667,0.03299572422015756
Linear SVM,2.0,89.86184304230166,9.38279374125542,82.39655996177734,16.191427185565917,100.0,0.0,89.67259329341225,9.523792378641573,1.9341671133333331,0.03297834824268835
Linear SVM,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.93416696,0.03297818845666874
Linear SVM,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.934166756666667,0.03297827292077133
Naive Bayes,2.0,89.6937758154109,9.160694380916583,82.39655996177734,16.191427185565917,99.58333333333333,0.9316949906249148,89.46206697762278,9.246012692273208,1.9341672766666669,0.03297825393417643
Naive Bayes,3.0,99.49437402079475,0.4615804137045651,100.0,0.0,98.75,1.1410886614690992,99.36842105263159,0.576550060531748,1.9341670299999998,0.032978212854942464
Naive Bayes,4.0,99.49437402079475,0.4615804137045651,100.0,0.0,98.75,1.1410886614690992,99.36842105263159,0.576550060531748,1.93416681,0.032978207501793144
Nearest Neighbors,2.0,89.86184304230166,9.38279374125542,82.39655996177734,16.191427185565917,100.0,0.0,89.67259329341225,9.523792378641573,1.9342478000000003,0.03297511498777224
Nearest Neighbors,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9342440199999997,0.0329786629030747
Nearest Neighbors,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.934237976666667,0.03297839772186869
Neural Net,2.0,89.86184304230166,9.38279374125542,82.39655996177734,16.191427185565917,100.0,0.0,89.67259329341225,9.523792378641573,1.9341699400000003,0.0329783205305639
Neural Net,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9341700833333333,0.032978341299760204
Neural Net,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9341697500000001,0.03297819627032226
QDA,2.0,89.86184304230166,9.38279374125542,82.39655996177734,16.191427185565917,100.0,0.0,89.67259329341225,9.523792378641573,1.9341673533333332,0.03297828657001165
QDA,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.93416713,0.03297820981258007
QDA,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.9341669533333334,0.03297816033527881
RBF SVM,2.0,64.69591226321037,8.051148406723199,70.06852437821102,27.403354315101307,72.91666666666666,37.26779962499649,59.474009901899485,10.954111816642834,1.9341889466666669,0.03297855019534031
RBF SVM,3.0,72.29596923515167,2.2020871375479834,100.0,0.0,31.666666666666664,5.392574627310327,47.8996202105668,6.154655926828758,1.93418804,0.03297841713333466
RBF SVM,4.0,72.29596923515167,2.2020871375479834,100.0,0.0,31.666666666666664,5.392574627310327,47.8996202105668,6.154655926828758,1.9341861033333332,0.032978278463327584
Random Forest,2.0,89.5242842899872,8.927200808792007,82.39655996177734,16.191427185565917,99.16666666666666,1.1410886614690976,89.25154066183329,8.953439384715992,1.9343246633333335,0.032979361552512076
Random Forest,3.0,99.6624412476855,0.4622282153627472,100.0,0.0,99.16666666666666,1.1410886614690985,99.57894736842105,0.5765500605317492,1.9343199633333334,0.03297890410956209
Random Forest,4.0,99.32345819683806,0.708615359442002,100.0,0.0,98.33333333333331,1.7430417219459882,99.15341545352743,0.8887455731520364,1.9343147133333336,0.03297921642362515
