,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,Time[min],Time[min]
,,mean,std,mean,std,mean,std,mean,std,mean,std
Classifier,Granularity,,,,,,,,,,
AdaBoost,2.0,99.326306793904,0.7035083234059232,100.0,0.0,98.33333333333334,1.7430417219459908,99.15341545352744,0.8887455731520411,1.6821921666666666,0.028492182517034947
AdaBoost,3.0,98.99017234012248,1.0953957688646792,100.0,0.0,97.5,2.716334335501102,98.71878047899433,1.3993908017473506,1.6821839533333334,0.028496864563027524
AdaBoost,4.0,99.326306793904,0.7035083234059232,100.0,0.0,98.33333333333334,1.7430417219459908,99.15341545352744,0.8887455731520411,1.6821773933333335,0.028494650067153415
Decision Tree,2.0,99.49437402079475,0.4615804137045645,100.0,0.0,98.75,1.1410886614690974,99.36842105263158,0.5765500605317487,1.6820555566666666,0.028496522124688537
Decision Tree,3.0,99.49437402079475,0.4615804137045645,100.0,0.0,98.75,1.1410886614690974,99.36842105263158,0.5765500605317487,1.6820553666666669,0.028496505652940245
Decision Tree,4.0,99.49437402079475,0.4615804137045645,100.0,0.0,98.75,1.1410886614690974,99.36842105263158,0.5765500605317487,1.6820552566666667,0.028496509517740354
Gaussian Process,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.68211742,0.028511762832833406
Gaussian Process,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6821134100000004,0.02849372515077906
Gaussian Process,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6821217499999999,0.028491632179673418
Linear SVM,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6820567066666667,0.028496484939003076
Linear SVM,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6820565233333333,0.02849657380285339
Linear SVM,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6820564133333333,0.028496621926482574
Naive Bayes,2.0,99.49579831932773,0.7516194882352215,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.68205675,0.02849646950460103
Naive Bayes,3.0,99.49579831932773,0.7516194882352215,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.6820566200000002,0.02849652284666213
Naive Bayes,4.0,99.49579831932773,0.7516194882352215,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.68205639,0.02849660778502763
Nearest Neighbors,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6821343,0.028497895649242874
Nearest Neighbors,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6821316733333334,0.028497715567778952
Nearest Neighbors,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6821273233333336,0.028496700801061536
Neural Net,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6820598100000002,0.028496601262659356
Neural Net,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.68205965,0.028496564340280073
Neural Net,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.682059346666667,0.028496466621016365
QDA,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6820569266666667,0.028496589955360835
QDA,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.68205675,0.02849643162398925
QDA,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.6820564833333336,0.028496623549173917
RBF SVM,2.0,71.4556331006979,2.9108285660174036,100.0,0.0,29.583333333333332,7.276770498572073,45.27209337074362,8.624712392872642,1.6820787966666666,0.02849620203953936
RBF SVM,3.0,71.4556331006979,2.9108285660174036,100.0,0.0,29.583333333333332,7.276770498572073,45.27209337074362,8.624712392872642,1.682078276666667,0.028496769737206343
RBF SVM,4.0,71.4556331006979,2.9108285660174036,100.0,0.0,29.583333333333332,7.276770498572073,45.27209337074362,8.624712392872642,1.6820764800000003,0.028496629200002115
Random Forest,2.0,99.15681526848029,0.8439134072951289,100.0,0.0,97.91666666666667,2.0833333333333326,98.93840985442328,1.06384157475641,1.6822114433333333,0.028494518867666678
Random Forest,3.0,99.15681526848029,0.8439134072951289,100.0,0.0,97.91666666666667,2.0833333333333326,98.93840985442328,1.06384157475641,1.6822080800000003,0.028495615490972577
Random Forest,4.0,98.98589944452357,0.929001379474903,100.0,0.0,97.5,2.282177322938192,98.723259762309,1.181058721398173,1.6822027199999998,0.02849590219674239
