,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,Time[min],Time[min]
,,mean,std,mean,std,mean,std,mean,std,mean,std
Classifier,Granularity,,,,,,,,,,
AdaBoost,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.16286008,0.04545821418653406
AdaBoost,3.0,99.6624412476855,0.4622282153627479,100.0,0.0,99.16666666666666,1.1410886614690998,99.57894736842105,0.5765500605317516,2.1630013299999997,0.04545484485586178
AdaBoost,4.0,99.6624412476855,0.4622282153627479,100.0,0.0,99.16666666666666,1.1410886614690998,99.57894736842105,0.5765500605317516,2.162993836666667,0.04546041814250847
Decision Tree,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.16285592,0.04545882389637441
Decision Tree,3.0,99.15681526848029,0.5942201815250773,100.0,0.0,97.91666666666666,1.4731391274719736,98.94288913773795,0.752266261415376,2.16285564,0.04545832987271997
Decision Tree,4.0,98.81783221763281,0.9650213810616504,100.0,0.0,97.08333333333331,2.3753654689565367,98.50825416320485,1.2270188264763278,2.162855536666667,0.04545835859152886
Gaussian Process,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.1629438766666667,0.04546265789703217
Gaussian Process,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.162926356666667,0.0454460674820786
Gaussian Process,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.16292805,0.045442051044445285
Linear SVM,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.1628573233333337,0.04545818189706905
Linear SVM,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1628567000000003,0.0454582763758274
Linear SVM,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1628565366666668,0.04545823329195756
Naive Bayes,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.1628569266666666,0.04545829199857041
Naive Bayes,3.0,99.6624412476855,0.4622282153627472,100.0,0.0,99.16666666666666,1.1410886614690976,99.57894736842105,0.5765500605317484,2.162856876666667,0.04545828554991471
Naive Bayes,4.0,99.6624412476855,0.4622282153627472,100.0,0.0,99.16666666666666,1.1410886614690976,99.57894736842105,0.5765500605317484,2.16285706,0.045458134214812235
Nearest Neighbors,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.1629405566666664,0.045457220272499974
Nearest Neighbors,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1629385166666673,0.0454537475689205
Nearest Neighbors,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1629364766666668,0.0454553534057482
Neural Net,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.1628628500000002,0.04545659670433954
Neural Net,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.162869376666667,0.04546091030022788
Neural Net,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1628643500000004,0.04545709435901555
QDA,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.1628576266666664,0.04545790248582491
QDA,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1628568533333334,0.045458189597049545
QDA,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.1628568366666667,0.04545830359030556
RBF SVM,2.0,58.11280444381141,2.3992318300154247,49.21732642102228,1.5221725799212569,100.0,0.0,65.95621604851179,1.3591845425872577,2.1628785866666664,0.04545827328864419
RBF SVM,3.0,79.72938327873523,2.2427761521266834,100.0,0.0,50.0,5.511981898051231,66.51971263519879,5.001249690724472,2.1628795833333334,0.04545733445249324
RBF SVM,4.0,79.72938327873523,2.2427761521266834,100.0,0.0,50.0,5.511981898051231,66.51971263519879,5.001249690724472,2.1628777199999996,0.045459183377178324
Random Forest,2.0,81.07961828799317,4.009487016316999,68.41853798375539,4.420296669063671,100.0,0.0,81.18187497218547,3.1611972309091287,2.163023576666667,0.045459980993879004
Random Forest,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2.163021296666667,0.04545362033860329
Random Forest,4.0,99.83193277310924,0.37580974411761037,100.0,0.0,99.58333333333333,0.9316949906249148,99.78947368421053,0.47075115315784705,2.1630195833333334,0.045460409840370405
