,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,Time[min],Time[min]
,,mean,std,mean,std,mean,std,mean,std,mean,std
Classifier,Granularity,,,,,,,,,,
AdaBoost,2.0,99.66386554621849,0.7516194882352223,100.0,0.0,99.16666666666669,1.8633899812498196,99.57446808510639,0.9515182882977866,1.4491600400000002,0.07716436120781632
AdaBoost,3.0,99.66386554621849,0.7516194882352223,100.0,0.0,99.16666666666669,1.8633899812498196,99.57446808510639,0.9515182882977866,1.4491485366666668,0.07716558125678633
AdaBoost,4.0,99.66386554621849,0.7516194882352223,100.0,0.0,99.16666666666669,1.8633899812498196,99.57446808510639,0.9515182882977866,1.4491419433333337,0.07716836777798901
Decision Tree,2.0,99.66386554621849,0.7516194882352223,100.0,0.0,99.16666666666669,1.8633899812498196,99.57446808510639,0.9515182882977866,1.44902273,0.0771680816540971
Decision Tree,3.0,99.49579831932773,0.7516194882352215,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.4490225933333334,0.07716820631249632
Decision Tree,4.0,99.49579831932773,0.7516194882352215,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.4490224433333334,0.07716817014579412
Gaussian Process,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.44909026,0.07718084495730321
Gaussian Process,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490812666666668,0.0771534104878247
Gaussian Process,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490812900000003,0.07716549518388731
Linear SVM,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.44902448,0.07716864312193257
Linear SVM,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490238966666666,0.07716816779905958
Linear SVM,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.44902378,0.07716822829751052
Naive Bayes,2.0,98.98732374305655,0.706077233074823,100.0,0.0,97.5,1.7430417219459884,98.72788353863383,0.8914223964052926,1.4490238999999998,0.07716815746607558
Naive Bayes,3.0,98.98732374305655,0.706077233074823,100.0,0.0,97.5,1.7430417219459884,98.72788353863383,0.8914223964052926,1.4490237366666667,0.07716809064893264
Naive Bayes,4.0,98.98732374305655,0.706077233074823,100.0,0.0,97.5,1.7430417219459884,98.72788353863383,0.8914223964052926,1.4490235133333336,0.07716811113400172
Nearest Neighbors,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4491004366666667,0.07716916456088573
Nearest Neighbors,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490972466666667,0.07716571553926022
Nearest Neighbors,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490911500000003,0.07716765514517011
Neural Net,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490269633333335,0.0771681274665803
Neural Net,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490269733333334,0.07716806802360715
Neural Net,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490268300000002,0.0771682206651108
QDA,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.44902411,0.07716787942905133
QDA,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.4490238166666665,0.07716808282277572
QDA,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.44902355,0.07716815247205285
RBF SVM,2.0,68.75373878364906,1.4785683476851077,100.0,0.0,22.916666666666664,3.8975597778895215,37.15985349962641,5.058884611724124,1.4490499933333334,0.07716911734251955
RBF SVM,3.0,68.75373878364906,1.4785683476851077,100.0,0.0,22.916666666666664,3.8975597778895215,37.15985349962641,5.058884611724124,1.44905223,0.07717003923820633
RBF SVM,4.0,68.75373878364906,1.4785683476851077,100.0,0.0,22.916666666666664,3.8975597778895215,37.15985349962641,5.058884611724124,1.4490466533333335,0.07716855456022002
Random Forest,2.0,99.49437402079475,0.7524220143975312,100.0,0.0,98.75,1.863389981249821,99.36394176931691,0.9502786619887404,1.4491815,0.07716582134223449
Random Forest,3.0,99.49437402079475,0.7524220143975312,100.0,0.0,98.75,1.863389981249821,99.36394176931691,0.9502786619887404,1.44917285,0.07716624085591926
Random Forest,4.0,99.49437402079475,0.7524220143975312,100.0,0.0,98.75,1.863389981249821,99.36394176931691,0.9502786619887404,1.4491766499999998,0.0771736163215385
