,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,Time[min],Time[min]
,,mean,std,mean,std,mean,std,mean,std,mean,std
Classifier,Granularity,,,,,,,,,,
AdaBoost,2.0,99.49579831932773,0.7516194882352231,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.881600986666667,0.0398659344747813
AdaBoost,3.0,99.49579831932773,0.7516194882352231,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.8815905000000002,0.0398717210580363
AdaBoost,4.0,99.49579831932773,0.7516194882352231,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887407,1.8815836566666668,0.03987300300361558
Decision Tree,2.0,99.6624412476855,0.4622282153627472,99.59183673469389,0.912680807142773,99.58333333333333,0.9316949906249148,99.58328811720023,0.5706578387590455,1.88146155,0.03987325813814462
Decision Tree,3.0,99.4929497222618,0.4628805887104813,99.59183673469389,0.912680807142773,99.16666666666666,1.1410886614690972,99.37276180141075,0.5726560691704546,1.8814613299999998,0.0398733122467331
Decision Tree,4.0,99.6624412476855,0.4622282153627472,99.59183673469389,0.912680807142773,99.58333333333333,0.9316949906249148,99.58328811720023,0.5706578387590455,1.8814612933333335,0.03987329905430765
Gaussian Process,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.881538286666667,0.03987631693529151
Gaussian Process,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8815431333333335,0.03985861625317906
Gaussian Process,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8815273466666667,0.039903518032715704
Linear SVM,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814626166666668,0.03987329764966999
Linear SVM,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814625133333336,0.03987331841859612
Linear SVM,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814624466666665,0.03987331753629305
Naive Bayes,2.0,99.66386554621849,0.7516194882352254,100.0,0.0,99.16666666666669,1.8633899812498227,99.57446808510639,0.9515182882977835,1.8814628166666667,0.03987331385323377
Naive Bayes,3.0,99.66386554621849,0.7516194882352254,100.0,0.0,99.16666666666669,1.8633899812498227,99.57446808510639,0.9515182882977835,1.8814625466666668,0.039873263343623205
Naive Bayes,4.0,99.66386554621849,0.7516194882352254,100.0,0.0,99.16666666666669,1.8633899812498227,99.57446808510639,0.9515182882977835,1.88146239,0.03987331246513867
Nearest Neighbors,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8815401366666669,0.03987372400827527
Nearest Neighbors,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8815380333333334,0.039871518409182155
Nearest Neighbors,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8815346133333335,0.03987396043646884
Neural Net,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814656733333335,0.039873374221278096
Neural Net,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814654199999998,0.03987336635195236
Neural Net,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814653800000005,0.0398733282724362
QDA,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814628966666667,0.03987335835111892
QDA,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814627033333333,0.0398733576893099
QDA,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8814625366666666,0.039873329279836334
RBF SVM,2.0,72.45691496937758,2.94603765706155,100.0,0.0,32.08333333333333,7.003223464154838,48.23459177375895,8.157825182784727,1.8814839700000001,0.03987358090808922
RBF SVM,3.0,72.45691496937758,2.94603765706155,100.0,0.0,32.08333333333333,7.003223464154838,48.23459177375895,8.157825182784727,1.8814831233333333,0.03987315348818073
RBF SVM,4.0,72.45691496937758,2.94603765706155,100.0,0.0,32.08333333333333,7.003223464154838,48.23459177375895,8.157825182784727,1.88148247,0.03987318802590551
Random Forest,2.0,99.326306793904,1.095941960128428,100.0,0.0,98.33333333333331,2.716334335501105,99.14431239388793,1.4011472181747853,1.88162003,0.03987235697258971
Random Forest,3.0,99.49579831932773,1.1274292323528359,100.0,0.0,98.75,2.7950849718747377,99.35483870967742,1.4426245016127663,1.8816121400000003,0.03987376811857953
Random Forest,4.0,99.49579831932773,1.1274292323528359,100.0,0.0,98.75,2.7950849718747377,99.35483870967742,1.4426245016127663,1.8816076866666667,0.03987311668888367
