,PC_1,PC_2,PC_3,Condition
0,s1,s1,ce,b2
1,ce,s1,ce,s2
2,s1,ce,ce,b2
3,s1,s1,b1,b2
4,s1,s1,s1,b2
5,ce,ce,s1,b2
6,ce,s1,s1,b2
7,s1,s2,s1,b2
8,s1,s2,ce,b2
9,s1,s2,b1,b2
10,s1,b1,b1,s2
11,s1,b1,ce,s2
12,s1,b2,ce,s2
13,ce,b1,ce,s2
14,s1,b2,b1,s2
15,ce,b2,s1,s2
16,ce,b2,ce,s2
17,s1,b2,s1,s2
18,ce,b1,s1,s2
19,b1,ce,ce,s2
20,b1,s1,s1,s2
21,b1,s1,b1,s2
22,b1,s1,ce,s2
23,b1,ce,s1,s2
24,ce,s1,b1,s2
25,b1,ce,b1,s2
