,PC_1,PC_2,PC_3,Condition
0,s1,ce,ce,b2
1,s1,s1,ce,b2
2,s1,ce,s1,b2
3,s1,s1,s1,b2
4,s1,s1,b1,b2
5,s1,s2,ce,b2
6,s1,s2,b1,b2
7,s1,s2,s1,b2
8,s1,b1,ce,s2
9,s1,b2,ce,s2
10,s1,b1,b1,s2
11,s1,b1,s1,s2
12,s1,b2,s1,s2
13,s1,b2,b1,s2
14,ce,b2,ce,s2
15,ce,b2,b1,s2
16,ce,b1,ce,s2
17,b1,ce,ce,s2
18,b1,ce,b1,s2
19,b1,s1,ce,s2
20,ce,s1,ce,s2
21,b1,ce,s1,s2
22,b1,s1,b1,s2
23,ce,ce,ce,s2
24,b1,s1,s1,s2
25,ce,s1,s1,s2
