,PC_1,PC_2,PC_3,Condition
0,s1,ce,ce,b2
1,ce,s1,ce,s2
2,s1,s1,ce,b2
3,s1,ce,s1,b2
4,s1,s1,s1,b2
5,ce,ce,ce,b2
6,s1,s1,b1,b2
7,ce,ce,s1,b2
8,s1,s2,b1,b2
9,s1,s2,ce,b2
10,ce,s1,s1,b2
11,s1,s2,s1,b2
12,s1,b1,ce,s2
13,s1,b2,ce,s2
14,s1,b1,b1,s2
15,ce,b2,ce,s2
16,ce,b1,ce,s2
17,s1,b1,s1,s2
18,ce,b1,b1,s2
19,s1,b2,s1,s2
20,ce,b1,s1,s2
21,ce,b2,b1,s2
22,s1,b2,b1,s2
23,ce,b2,s1,s2
24,b1,ce,ce,s2
25,b1,s1,b1,s2
26,b1,s1,ce,s2
27,ce,ce,b1,s2
28,b1,ce,s1,s2
29,b1,s1,s1,s2
30,b1,ce,b1,s2
31,ce,s1,b1,s2
