,PC_1,PC_2,PC_3,Condition
0,s1,s1,ce,b2
1,ce,ce,ce,b2
2,ce,ce,s1,b2
3,ce,s1,s1,b2
4,ce,s1,ce,b2
5,ce,s1,b1,b2
6,s1,s1,b1,b2
7,s1,s1,s1,b2
8,s1,s2,ce,b2
9,s1,s2,b1,b2
10,ce,s2,ce,b2
11,ce,b1,b1,s2
12,ce,b1,ce,s2
13,s1,b1,ce,s2
14,ce,b2,ce,s2
15,ce,b1,s1,s2
16,ce,b2,s1,s2
17,b1,s1,ce,s2
18,b1,s1,s1,s2
19,b1,s1,b1,s2
20,b1,ce,ce,s2
21,b1,ce,s1,s2
