,PC_1,PC_2,PC_3,Condition
0,s1,s1,ce,b2
1,s1,s1,b1,b2
2,s1,ce,ce,b2
3,s1,s1,s1,b2
4,s1,s2,ce,b2
5,s1,s2,s1,b2
6,s1,s2,b1,b2
7,s1,b1,ce,s2
8,s1,b1,s1,s2
9,s1,b2,ce,s2
10,s1,b2,b1,s2
11,s1,b2,s1,s2
12,b1,s1,ce,s2
13,b1,s1,s1,s2
14,b1,ce,ce,s2
15,b1,s1,b1,s2
16,b1,ce,b1,s2
17,ce,s1,ce,s2
18,b1,ce,s1,s2
