,PC_1,PC_2,PC_3,Condition
0,s1,s1,ce,b2
1,ce,s1,ce,s2
2,ce,ce,ce,b2
3,ce,s1,b1,b2
4,ce,ce,s1,b2
5,ce,s1,s1,s2
6,s1,s1,s1,b2
7,s1,s1,b1,b2
8,s1,s2,ce,b2
9,s1,b1,ce,s2
10,ce,b2,ce,s2
11,ce,b1,ce,s2
12,ce,b1,b1,s2
13,s1,b1,s1,s2
14,ce,b1,s1,s2
15,ce,b2,s1,s2
16,b1,s1,ce,s2
17,b1,s1,s1,s2
18,b1,ce,ce,s2
19,b1,ce,s1,s2
20,b1,s1,b1,s2
