,PC_1,PC_2,PC_3,Condition
0,s1,s1,ce,b2
1,s1,s1,b1,b2
2,s1,ce,ce,b2
3,ce,ce,ce,s2
4,s1,s1,s1,b2
5,ce,s1,ce,s2
6,s1,ce,b1,b2
7,ce,ce,b1,b2
8,s1,s2,b1,b2
9,s1,s2,ce,b2
10,s1,s2,s1,b2
11,s1,b1,s1,s2
12,s1,b1,ce,s2
13,s1,b2,ce,s2
14,ce,b2,ce,s2
15,ce,b2,b1,s2
16,s1,b1,b1,s2
17,ce,b1,ce,s2
18,ce,b2,s1,s2
19,s1,b2,s1,s2
20,s1,b2,b1,s2
21,b1,ce,ce,s2
22,b1,s1,s1,s2
23,b1,ce,s1,s2
24,b1,s1,ce,s2
25,b1,s1,b1,s2
26,b1,ce,b1,s2
27,ce,s1,s1,s2
